average rating,reviews count,location,location_code
4.2,356,"278 Middlesex Ave, Medford, MA 02155",1
3.9,202,"1440 Central Ave, Albany, NY 12205",2
4.1,460,"300 NJ-17, East Rutherford, NJ 07073",3
4.4,156,"6924 Frank Ave NW, North Canton, OH 44720",4
4.0,139,"4000 Nesconset Highway, NY-347, Setauket- East Setauket, NY 11733",5
4.1,218,"131 E Kings Hwy, Maple Shade, NJ 08052",6
3.8,284,"124 Sunset Blvd, New Castle, DE 19720",7
4.0,144,"70 Cluff Rd, Salem, NH 03079",8
4.0,137,"622 Washington St, Weymouth, MA 02188",9
4.1,208,"110 Centerville Rd, Lancaster, PA 17603",10
4.3,236,"650 Memorial Dr, Chicopee, MA 01020",11
3.9,233,"1785 Airport Rd, Allentown, PA 18109",12
4.1,429,"2044 Red Lion Rd, Philadelphia, PA 19115",13
4.1,196,"460 State Rd, North Dartmouth, MA 02747",14
4.2,172,"3805 Hartzdale Dr, Camp Hill, PA 17011",15
4.0,215,"1000 US-1, Edison, NJ 08817",16
4.1,115,"1904 NJ-35, Oakhurst, NJ 07755",17
4.1,103,"513 Warren Ave, Portland, ME 04103",18
4.1,118,"6 Hutchinson Dr, Danvers, MA 01923",19
4.0,172,"40 Black Rock Turnpike, Fairfield, CT 06825",20
4.1,186,"500 N State Rd 7, Royal Palm Beach, FL 33411",21
3.9,203,"13053 Fair Lakes Shopping Center, Fairfax, VA 22033",22
4.2,191,"901 Technology Center Dr, Stoughton, MA 02072",23
4.0,146,"4408 Milestrip Rd, Blasdell, NY 14219",24
4.4,254,"3712 Virginia Beach Blvd, Virginia Beach, VA 23452",25
4.1,180,"344 Reidville Dr, Waterbury, CT 06705",26
4.2,181,"777 Washington St, Auburn, MA 01501",27
4.0,194,"8 Sexton Ave, Nashua, NH 03060",28
3.9,301,"4201 Wholesale Club Drive, Baltimore, MD 21236",29
4.0,138,"14123 Noblewood Plaza, Woodbridge, VA 22193",30
4.1,611,"396 Marin Blvd, Jersey City, NJ 07302",31
4.1,187,"2 Chevy Dr, East Syracuse, NY 13057",32
3.8,429,"101 S Van Dorn St, Alexandria, VA 22304",33
3.9,125,"26 Whittier St, Framingham, MA 01701",34
4.3,170,"1 Howard Blvd, Ledgewood, NJ 07852",35
3.9,188,"1000 Old Nichols Rd, Islandia, NY 11749",36
4.1,196,"85 Cedar St, Stoneham, MA 02180",37
4.0,398,"7007 SW 117th Ave, Miami, FL 33183",38
3.9,139,"350 Commerce Blvd, Fairless Hills, PA 19030",39
4.2,162,"1404 U.S. 9, Wappingers Falls, NY 12590",40
3.8,230,"13700 Pines Blvd, Pembroke Pines, FL 33027",41
4.1,222,"287 Washington St, Attleboro, MA 02703",42
3.9,298,"1260 Woodland Ave, Springfield, PA 19064",43
4.2,112,"550 Madison Ave, Reading, PA 19605",44
4.1,114,"115 Erdman Way, Leominster, MA 01453",45
4.0,152,"8139 Ritchie Hwy, Pasadena, MD 21122",46
3.7,187,"9011 Snowden River Pkwy, Columbia, MD 21046",47
3.9,187,"55 Music Fair Rd, Owings Mills, MD 21117",48
3.9,124,"1801 Woodbury Ave, Portsmouth, NH 03801",49
4.2,148,"2250 York Crossing Dr, York, PA 17404",50
4.3,109,"400 River Rd, Utica, NY 13502",51
3.9,81,"3067 NY-50, Saratoga Springs, NY 12866",52
4.0,424,"1001 E Edgar Rd, Linden, NJ 07036",53
4.2,142,"4145 NY-31, Clay, NY 13041",54
4.2,163,"3985 Plank Rd, Fredericksburg, VA 22407",55
4.2,92,"2301 Taylor Rd, Chesapeake, VA 23321",56
3.9,151,"413 Constant Friendship Blvd, Abingdon, MD 21009",57
3.9,179,"1000 St Nicholas Dr, Waldorf, MD 20603",58
3.7,165,"1601 US-22, Watchung, NJ 07069",59
3.8,101,"200 Wrangleboro Rd, Mays Landing, NJ 08330",60
4.0,86,"950 Ridge Rd, Webster, NY 14580",61
3.8,152,"3303 Crompond Rd, Yorktown Heights, NY 10598",62
3.7,98,"1050 Palisades Center Dr, West Nyack, NY 10994",63
4.2,496,"507 New Park Ave, West Hartford, CT 06110",64
4.3,118,"70 W Campbell Rd, Rotterdam, NY 12306",65
4.3,445,"125 Cross Rd, Waterford, CT 06385",66
4.0,156,"1910 Deptford Center Rd, Deptford, NJ 08096",67
3.9,113,"1008 E Lancaster Ave, Downingtown, PA 19335",68
4.0,313,"10425 Marlin Rd, Cutler Bay, FL 33157",69
4.1,207,"300 Alan Wood Rd, Conshohocken, PA 19428",70
4.2,426,"555 Universal Dr, North Haven, CT 06473",71
4.2,166,"110 NJ-23, Riverdale, NJ 07457",72
4.4,133,"36595 Euclid Ave, Willoughby, OH 44094",73
4.0,632,"13705 20th Ave, Queens, NY 11356",74
3.9,195,"941 NJ-37 West, Toms River, NJ 08755",75
4.0,257,"688 Providence Hwy, Dedham, MA 02026",76
4.4,164,"1677 Home Ave, Akron, OH 44310",77
3.9,132,"100 Corporate Dr, Franklin, MA 02038",78
4.1,265,"5901 W Hillsboro Blvd, Parkland, FL 33067",79
4.2,211,"4150 NW Federal Hwy, Jensen Beach, FL 34957",80
4.2,191,"North, 12200 Atlantic Blvd, Jacksonville, FL 32225, United States",81
4.1,391,"4000 Oakwood Blvd, Hollywood, FL 33020, United States",82
4.2,218,"2370 Walnut St, Cary, NC 27511, United States",83
4.3,473,"8005 NW 95th St, Hialeah, FL 33016, United States",84
3.9,263,"6000 Brush Hollow Rd, Westbury, NY 11590, United States",85
4.3,249,"105 Shops at 5 Way, Plymouth, MA 02360, United States",86
4.2,185,"11715 Carolina Pl Pkwy, Pineville, NC 28134, United States",87
4.3,102,"38292 Colorado Ave, Avon, OH 44011, United States",88
4.2,95,"50 Eastview Mall Dr, Victor, NY 14564, United States",89
4.2,942,"30 NJ-17, Paramus, NJ 07652, United States",90
4.1,111,"141 Gallery Center Dr, Mooresville, NC 28117, United States",91
3.9,147,"790 Centre of New England Blvd, Coventry, RI 02816, United States",92
4.0,160,"415 E Merritt Ave, Merritt Island, FL 32953, United States",93
4.1,193,"4365 Richmond Rd, Warrensville Heights, OH 44122, United States",94
3.9,137,"8811 Brier Creek Pkwy, Raleigh, NC 27617, United States",95
4.3,160,"6944 W 130th St, Middleburg Heights, OH 44130, United States",96
4.3,129,"560 Blanding Blvd, Orange Park, FL 32073, United States",97
4.1,197,"1155 Palm Bay Rd NE, Palm Bay, FL 32905, United States",98
3.9,282,"50 Daniel St, Farmingdale, NY 11735, United States",99
3.9,168,"8085 Cooper Creek Blvd, University Park, FL 34201, United States",100
3.9,232,"1540 W Boynton Beach Blvd, Boynton Beach, FL 33436, United States",101
4.3,240,"4697 Millenia Plaza Way, Orlando, FL 32839, United States",102
4.1,118,"820 Market St, Westminster, MD 21157, United States",103
3.9,252,"16520 Ballpark Rd, Bowie, MD 20716, United States",104
4.2,266,"W State Rd. 46 and, Upsala Rd, Sanford, FL 32771, United States",105
4.0,216,"7905 Lyles Ln NW, Concord, NC 28027, United States",106
4.1,315,"12190 Lake Underhill Rd, Orlando, FL 32825, United States",107
3.8,287,"100 Mill Rd, Freeport, NY 11520, United States",108
3.9,696,"339 Gateway Dr, Brooklyn, NY 11239, United States",109
4.0,135,"7260 Bell Creek Rd, Mechanicsville, VA 23111, United States",110
4.2,198,"900 Marketplace Blvd, Hamilton Township, NJ 08691, United States",111
4.1,117,"5183 Transit Rd #4131, Williamsville, NY 14221, United States",112
3.9,351,"66-26 Metropolitan Ave, Queens, NY 11379, United States",113
4.2,152,"1725 Market Pl Blvd, Cumming, GA 30041, United States",114
4.1,246,"105 Long Dr, Woodstock, GA 30189, United States",115
3.7,72,"331 Newnan Crossing Bypass, Newnan, GA 30263, United States",116
4.2,115,"232 Larkin Dr, Monroe, NY 10950, United States",117
4.2,227,"1800 Dogwood Dr SE, Conyers, GA 30013, United States",118
4.1,168,"255 Shenstone Blvd, Garner, NC 27529, United States",119
4.0,212,"3585 N Commerce Dr, East Point, GA 30344, United States",120
4.0,140,"152 NJ-73, Voorhees Township, NJ 08043",121
4.1,396,"1100 W Osceola Pkwy, Kissimmee, FL 34741",122
4.1,118,"3849 S Delsea Dr, Vineland, NJ 08360",123
4.1,119,"2085 Bay St, Taunton, MA 02780",124
4.1,222,"3635 Hempstead Turnpike, Levittown, NY 11756",125
3.8,320,"2300 W Oregon Ave, Philadelphia, PA 19145",126
3.7,543,"125 Green Acres Rd S, Valley Stream, NY 11581",127
4.0,180,"200 Easton Rd, Warrington, PA 18976",128
4.0,139,"400 Jay Scutti Blvd #2541, Rochester, NY 14623",129
3.9,150,"1929 NE Pine Island Rd, Cape Coral, FL 33909",130
4.1,279,"650 SE 8th St #7405, Homestead, FL 33034",131
4.1,255,"8046 Philips Hwy, Jacksonville, FL 32256",132
4.0,207,"1007 U.S. 9, Old Bridge, NJ 08857",133
4.0,123,"1046 N Colony Rd, Wallingford, CT 06492",134
3.9,405,"17250 NW 57th Ave, Hialeah, FL 33015",135
4.2,280,"5 Ward St, Revere, MA 02151",136
3.7,727,"610 Exterior Street, The Bronx, NY 10451",137
4.1,171,"6301 Triangle Plantation Dr, Raleigh, NC 27616",138
3.9,249,"100 Pencader Plaza, Newark, DE 19713",139
4.1,284,"16200 SW 88th St, Miami, FL 33196",140
4.2,124,"5820 E Virginia Beach Blvd, Norfolk, VA 23502",141
4.0,408,"5100 NW 9th Ave, Fort Lauderdale, FL 33309",142
4.3,252,"6290 Commerce Palms Dr, Tampa, FL 33647",143
3.8,228,"1046 Tolland Turnpike, Manchester, CT 06042",144
4.2,189,"300 Bellwood Dr #4262, Rochester, NY 14606",145
4.3,274,"2000 Power Plant Pkwy, Hampton, VA 23666",146
4.4,262,"7651 W Waters Ave, Tampa, FL 33615",147
4.1,153,"25 Shelley Rd, Haverhill, MA 01835",148
4.2,345,"2100 88th St, North Bergen, NJ 07047",149
4.0,225,"9372 6 Mile Cypress Pkwy, Fort Myers, FL 33912",150
4.2,95,"321 Martin Truex Jr Blvd, Manahawkin, NJ 08050",151
4.2,345,"955 Ferry Blvd, Stratford, CT 06614",152
4.2,1562,"1752 Shore Pkwy, Brooklyn, NY 11214",153
3.9,188,"26676 Centerview Dr, Millsboro, DE 19966",154
4.1,134,"1320 Starling Dr, Richmond, VA 23229",155
4.0,258,"2577 S Hwy 27, Clermont, FL 34711",156
4.0,152,"200-C Mill Rd, Oaks, PA 19456",157
4.1,856,"825 Pelham Pkwy, Pelham, NY 10803",158
4.1,155,"75 Spring St, Southington, CT 06489",159
3.9,624,"900 Remsen Ave, Brooklyn, NY 11236",160
4.3,436,"66 Seyon St, Waltham, MA 02453",161
4.1,426,"131-07 40th Rd Ste. A100, Queens, NY 11354",162
4.0,402,"1781 Ritchie Station Ct, Capitol Heights, MD 20743",163
4.5,222,"200 Stone Hill Rd, Johnston, RI 02919",164
4.2,110,"1 Highland Commons W, Hudson, MA 01749",165
4.1,253,"2451 U.S. 1 South, North Brunswick Township, NJ 08902",166
4.0,179,"6102 Shops Way, Northborough, MA 01532",167
3.9,356,"711 Stewart Ave, Garden City, NY 11530",168
4.0,197,"3056 Sheridan Dr, Amherst, NY 14226",169
4.1,154,"106 Federal Rd, Brookfield, CT 06804",170
4.2,232,"5200 Red Tip Rd, Fayetteville, NC 28314",171
4.1,173,"175 Highland Ave #5817, Seekonk, MA 02771",172
4.4,433,"1419 Hershberger Rd NW, Roanoke, VA 24012",173
3.5,70,"200 John E Devine Dr, Manchester, NH 03101",174
4.2,553,"26996 US Hwy 19 N, Clearwater, FL 33761",175
4.5,98,"6100 St. Lawrence Centre, Massena, NY 13662",176
4.4,192,"1899 Cinema Dr, Olean, NY 14760",177
4.4,157,"756 NY-28, Oneonta, NY 13820",178
4.2,48,"173 E Main Rd, Middletown, RI 02842",179
4.3,54,"42 Colrain Rd, Greenfield, MA 01301",180
4.4,190,"186 NJ-31, Flemington, NJ 08822",181
4.2,198,"119 Laconia Rd, Tilton, NH 03276",182
3.9,97,"110 Mt Auburn Ave, Auburn, ME 04210",183
4.3,177,"8330 Lewiston Rd, Batavia, NY 14020",184
3.8,96,"607 Old Country Rd, Riverhead, NY 11901",185
4.5,122,"11 Plaza Dr, Auburn, NY 13021",186
4.3,143,"1280 E Main St, Torrington, CT 06790",187
4.3,155,"1589 Main St, Willimantic, CT 06226",188
4.1,106,"44950 Worth Ln, California, MD 20619",189
3.8,96,"20 Division St, Derby, CT 06418",190
4.2,165,"159 Pocono Commons Dr, Stroudsburg, PA 18360",191
4.1,107,"262 N Plainfield Rd, West Lebanon, NH 03784",192
3.9,127,"420 Attucks Ln, Hyannis, MA 02601",193
4.3,154,"28410 Marlboro Ave, Easton, MD 21601",194
3.9,92,"616 N West End Blvd, Quakertown, PA 18951",195
3.7,226,"6607 Wilson Blvd, Falls Church, VA 22044",196
4.3,93,"40 Graham Rd W, Ithaca, NY 14850",197
4.0,214,"200 Crown Colony Dr, Quincy, MA 02169",198
3.9,237,"2131 Kirkwood Hwy, Wilmington, DE 19805",199
4.2,97,"495 Hubbard Ave, Pittsfield, MA 01201",200
